details_id,pair,timestamp,rate,volume
vaal-cultivation-orb,exalted,2026-01-05T00:00:00Z,212.4,739.9
vaal-cultivation-orb,exalted,2026-01-04T00:00:00Z,296.9,787.6
vaal-cultivation-orb,exalted,2026-01-03T00:00:00Z,451.0,1111
vaal-cultivation-orb,exalted,2026-01-02T00:00:00Z,231.2,956.3
vaal-cultivation-orb,exalted,2026-01-01T00:00:00Z,227.9,913.5
vaal-cultivation-orb,exalted,2025-12-31T00:00:00Z,180.8,622.0
vaal-cultivation-orb,exalted,2025-12-30T00:00:00Z,209.7,547.6
vaal-cultivation-orb,exalted,2025-12-29T00:00:00Z,210.2,718.6
vaal-cultivation-orb,exalted,2025-12-28T00:00:00Z,160.5,460.5
vaal-cultivation-orb,exalted,2025-12-27T00:00:00Z,258.2,546.6
vaal-cultivation-orb,exalted,2025-12-26T00:00:00Z,455.1,837.9
vaal-cultivation-orb,exalted,2025-12-25T00:00:00Z,417.0,690.2
vaal-cultivation-orb,exalted,2025-12-24T00:00:00Z,349.8,751.9
vaal-cultivation-orb,exalted,2025-12-23T00:00:00Z,318.9,552.0
vaal-cultivation-orb,exalted,2025-12-22T00:00:00Z,310.7,632.4
vaal-cultivation-orb,exalted,2025-12-21T00:00:00Z,237.4,548.8
vaal-cultivation-orb,exalted,2025-12-20T00:00:00Z,175.4,415.0
vaal-cultivation-orb,exalted,2025-12-19T00:00:00Z,153.8,223.9
vaal-cultivation-orb,exalted,2025-12-18T00:00:00Z,142.4,270.5
vaal-cultivation-orb,exalted,2025-12-17T00:00:00Z,92.44,191.7
vaal-cultivation-orb,exalted,2025-12-16T00:00:00Z,49.48,101.3
vaal-cultivation-orb,exalted,2025-12-15T00:00:00Z,16.35,17.99
vaal-cultivation-orb,exalted,2025-12-14T00:00:00Z,5.28,3.66
vaal-cultivation-orb,exalted,2025-12-13T00:00:00Z,3.26,0.05696
vaal-cultivation-orb,chaos,2026-01-15T00:00:00Z,199.2,703.3
vaal-cultivation-orb,chaos,2026-01-14T00:00:00Z,210.2,714.5
vaal-cultivation-orb,chaos,2026-01-13T00:00:00Z,287.0,864.8
vaal-cultivation-orb,chaos,2026-01-12T00:00:00Z,202.4,922.3
vaal-cultivation-orb,chaos,2026-01-11T00:00:00Z,150.6,978.8
vaal-cultivation-orb,chaos,2026-01-10T00:00:00Z,119.1,756.9
vaal-cultivation-orb,chaos,2026-01-09T00:00:00Z,97.84,903.1
vaal-cultivation-orb,chaos,2026-01-08T00:00:00Z,53.69,451.6
vaal-cultivation-orb,chaos,2026-01-07T00:00:00Z,45.98,401.2
vaal-cultivation-orb,chaos,2026-01-06T00:00:00Z,37.87,248.1
vaal-cultivation-orb,chaos,2026-01-05T00:00:00Z,38.06,261.7
vaal-cultivation-orb,chaos,2026-01-04T00:00:00Z,58.1,273.5
vaal-cultivation-orb,chaos,2026-01-03T00:00:00Z,119.3,449.2
vaal-cultivation-orb,chaos,2026-01-02T00:00:00Z,80.26,565.3
vaal-cultivation-orb,chaos,2026-01-01T00:00:00Z,81.6,766.0
vaal-cultivation-orb,chaos,2025-12-31T00:00:00Z,53.56,521.5
